Depth,Absolute Salinity,Temperature
0,,
1,,
2,31.021505,0.4665038
3,31.840794,0.3755328
4,31.83145,0.33232048
5,31.920778,0.37659746
6,31.915956,0.36584282
7,31.88611,0.34431297
8,31.942236,0.407347
9,32.007805,0.4285345
10,32.054977,0.45807192
11,32.076286,0.48041177
12,32.17069,0.58179045
13,32.225773,0.65889513
14,32.315517,0.7361388
15,32.373325,0.688516
16,32.403847,0.5493917
17,32.43227,0.68810755
18,32.53164,0.59898716
19,32.576424,0.45900968
20,32.60364,0.4452543
21,32.658047,0.43707743
22,32.690674,0.45319363
23,32.761948,0.47144753
24,32.76652,0.4800525
25,32.78635,0.4754889
26,32.80764,0.47195104
27,32.823048,0.45350763
28,32.85432,0.44621614
29,32.87967,0.40992755
30,32.89847,0.37462315
31,32.907246,0.34925526
32,32.921543,0.35348675
33,32.97864,0.34871182
34,32.999786,0.40177116
35,33.013233,0.40061668
36,33.02093,0.3906471
37,33.031563,0.37161303
38,33.034798,0.3473293
39,33.054386,0.32052886
40,33.08839,0.30212617
41,33.09665,0.2996274
42,33.10766,0.29727754
43,33.113285,0.2943726
44,33.12048,0.2882868
45,33.141403,0.26809278
46,33.172752,0.24980861
47,33.189228,0.2544144
48,33.194252,0.25310802
49,33.2012,0.24217036
50,33.21033,0.24207164
51,33.212765,0.2440263
52,33.22277,0.2538806
53,33.238052,0.26724252
54,33.25114,0.2753009
55,33.26133,0.2734046
56,33.272507,0.28124642
57,33.283436,0.29509374
58,33.297474,0.31380802
59,33.31791,0.34270668
60,33.334732,0.36889064
61,33.340305,0.3844953
62,33.343525,0.34212238
63,33.350246,0.33441272
64,33.357525,0.34393847
65,33.36418,0.36984193
66,33.3427,0.341041
67,33.344517,0.33452877
68,33.353756,0.34703532
69,33.36221,0.36971235
70,33.364414,0.38813743
71,33.372116,0.39080447
72,33.383617,0.43289432
73,33.382866,0.4190279
74,33.398685,0.48151535
75,33.410263,0.50736326
76,33.418705,0.500023
77,33.424175,0.45463756
78,33.42443,0.39677203
79,33.424446,0.39258546
80,33.42481,0.38973948
81,33.425358,0.39019984
82,33.426426,0.39280948
83,33.434334,0.39957312
84,33.443417,0.39544946
85,33.45707,0.37377226
86,33.46932,0.3596041
87,33.487164,0.36400193
88,33.492214,0.37222514
89,33.495678,0.3595478
90,33.5077,0.3688496
91,33.512634,0.37324643
92,33.51457,0.38366804
93,33.521538,0.399778
94,33.526676,0.39477503
95,33.53139,0.3819206
96,33.53165,0.37950027
97,33.532402,0.37935027
98,33.53447,0.3831911
99,33.545403,0.4504104
100,33.553093,0.50138116
101,33.55974,0.5479948
102,33.56684,0.59236795
103,33.56766,0.5898346
104,33.57329,0.5024496
105,33.594906,0.53102225
106,33.59774,0.5100413
107,33.598873,0.5026792
108,33.599815,0.49838147
109,33.605583,0.4836617
110,33.608185,0.4820993
